w1,w2,w3,w4,count,p1,p2,p3,p4,joint.prob.nonnorm,joint.prob,expected,disparity,score
against,no,child,support,15,0.000368289,0.002219599,0.003038384,0.001012795,2.52E-12,5.40E-08,0.016422726,913.3684524,0.70487189
on,next,15,dont,15,0.007816276,0.00046365,0.000259775,0.002686537,2.53E-12,5.43E-08,0.016511944,908.4333052,0.704871731
watch,the,pbs,black,15,0.00044392,0.032968442,0.000111802,0.001555363,2.54E-12,5.46E-08,0.016615075,902.7946229,0.70487155
suicide,doors,for,the,15,0.000121667,7.23E-05,0.008924432,0.032968442,2.59E-12,5.56E-08,0.016906851,887.2143177,0.704871048
be,around,next,year,15,0.005813705,0.000815497,0.00046365,0.001223246,2.69E-12,5.77E-08,0.017554835,854.4654291,0.704869995
took,him,back,after,15,0.000411037,0.003446133,0.001282435,0.001509327,2.74E-12,5.89E-08,0.017899849,837.9959159,0.704869465
mill,and,more,2015,15,7.89E-05,0.022837206,0.00241032,0.000644506,2.80E-12,6.01E-08,0.018278658,820.6291741,0.704868906
the,year,honors,video,15,0.032968442,0.001223246,5.26E-05,0.001417255,3.01E-12,6.46E-08,0.019632186,764.0514378,0.704867085
heres,why,you,need,15,0.00024991,0.001223246,0.010821778,0.000914146,3.02E-12,6.49E-08,0.019743765,759.7335054,0.704866946
dont,be,scared,video,15,0.002686537,0.005813705,0.000147973,0.001417255,3.28E-12,7.03E-08,0.021384292,701.4494663,0.70486507
because,shes,scared,of,15,0.001917076,0.000776038,0.000147973,0.01604359,3.53E-12,7.58E-08,0.023058161,650.5289084,0.704863431
take,the,wheel,new,15,0.001016083,0.032968442,5.92E-05,0.001854598,3.68E-12,7.89E-08,0.024007037,624.8168046,0.704862604
broke,it,here,first,15,0.000322253,0.007714339,0.001104867,0.001348201,3.70E-12,7.95E-08,0.02417564,620.4592631,0.704862464
video,end,of,days,15,0.001417255,0.00038473,0.01604359,0.000437343,3.83E-12,8.21E-08,0.02497735,600.5440926,0.704861823
dms,and,more,video,15,5.26E-05,0.022837206,0.00241032,0.001417255,4.10E-12,8.81E-08,0.026796264,559.7795295,0.704860511
get,the,bossip,newsletter,15,0.002604329,0.032968442,0.000213739,0.000226892,4.16E-12,8.94E-08,0.027184171,551.7916968,0.704860254
matter,suicide,it,is,15,0.000381442,0.000121667,0.007714339,0.011732635,4.20E-12,9.02E-08,0.027422897,546.9881571,0.704860099
is,in,hot,water,15,0.011732635,0.012064753,0.000263064,0.000128243,4.78E-12,1.03E-07,0.03117654,481.1309986,0.70485798
the,problem,with,claudia,15,0.032968442,0.000388019,0.008704116,4.93E-05,5.49E-12,1.18E-07,0.035855491,418.3459629,0.704855959
who,wont,be,around,15,0.002857528,0.000414325,0.005813705,0.000815497,5.61E-12,1.21E-07,0.03664587,409.3230742,0.704855669
and,talk,characters,on,15,0.022837206,0.000542569,5.92E-05,0.007816276,5.73E-12,1.23E-07,0.037424728,400.8045187,0.704855395
video,if,you,missed,15,0.001417255,0.003620412,0.010821778,0.000105225,5.84E-12,1.25E-07,0.038145492,393.2312651,0.704855151
you,missed,it,last,15,0.010821778,0.000105225,0.007714339,0.0006741,5.92E-12,1.27E-07,0.03865988,387.9991381,0.704854983
girlfriend,is,angry,he,15,0.000440631,0.011732635,0.000170991,0.007599249,6.72E-12,1.44E-07,0.043856473,342.0247681,0.704853503
the,real,on,threesome,15,0.032968442,0.000542569,0.007816276,4.93E-05,6.90E-12,1.48E-07,0.045022837,333.1642588,0.704853218
and,more,2015,bossip,15,0.022837206,0.00241032,0.000644506,0.000213739,7.58E-12,1.63E-07,0.049504699,303.0015412,0.704852247
stupid,in,love,video,15,0.00026964,0.012064753,0.001703337,0.001417255,7.85E-12,1.69E-07,0.051270714,292.5646811,0.704851911
a,photo,posted,by,15,0.021117428,0.000361712,0.000440631,0.002772032,9.33E-12,2.00E-07,0.060911056,246.2607121,0.704850421
we,broke,it,here,15,0.003485592,0.000322253,0.007714339,0.001104867,9.57E-12,2.06E-07,0.062502875,239.9889602,0.704850219
in,love,video,exclusive,15,0.012064753,0.001703337,0.001417255,0.000381442,1.11E-11,2.38E-07,0.072529302,206.8129642,0.704849152
comments,get,the,bossip,15,0.000706983,0.002604329,0.032968442,0.000213739,1.30E-11,2.79E-07,0.084704302,177.0866376,0.704848195
dbs,the,real,on,15,0.000105225,0.032968442,0.000542569,0.007816276,1.47E-11,3.16E-07,0.096048718,156.1707463,0.704847522
i,never,took,him,15,0.014264622,0.001012795,0.000411037,0.003446133,2.05E-11,4.39E-07,0.133601806,112.2739315,0.704846109
for,the,cadillac,video,15,0.008924432,0.032968442,5.26E-05,0.001417255,2.19E-11,4.71E-07,0.143230519,104.726284,0.704845866
dirty,dog,of,the,15,0.000157838,0.00026964,0.01604359,0.032968442,2.25E-11,4.83E-07,0.146965155,102.0650099,0.704845781
the,dirty,dog,of,15,0.032968442,0.000157838,0.00026964,0.01604359,2.25E-11,4.83E-07,0.146965155,102.0650099,0.704845781
if,you,missed,it,15,0.003620412,0.010821778,0.000105225,0.007714339,3.18E-11,6.83E-07,0.207631842,72.24325459,0.704844821
of,the,year,honors,15,0.01604359,0.032968442,0.001223246,5.26E-05,3.40E-11,7.31E-07,0.22223999,67.49460334,0.704844668
color,issues,in,the,15,0.000207163,0.000437343,0.012064753,0.032968442,3.60E-11,7.74E-07,0.235270985,63.75626804,0.704844548
issues,in,the,south,15,0.000437343,0.012064753,0.032968442,0.000210451,3.66E-11,7.86E-07,0.239005445,62.76007636,0.704844516
to,watch,the,pbs,15,0.02759208,0.00044392,0.032968442,0.000111802,4.51E-11,9.69E-07,0.294750721,50.89046081,0.704844134
out,change,you,are,15,0.003127168,0.000292658,0.010821778,0.004843658,4.80E-11,1.03E-06,0.313185698,47.89490736,0.704844037
going,to,vote,for,15,0.001068696,0.02759208,0.000187433,0.008924432,4.93E-11,1.06E-06,0.322019781,46.58098943,0.704843995
down,the,problem,with,15,0.000677389,0.032968442,0.000388019,0.008704116,7.54E-11,1.62E-06,0.492415413,30.46208468,0.704843476
the,south,and,talk,15,0.032968442,0.000210451,0.022837206,0.000542569,8.60E-11,1.85E-06,0.561260705,26.72554816,0.704843356
it,is,a,demon,15,0.007714339,0.011732635,0.021117428,5.26E-05,1.01E-10,2.16E-06,0.656513871,22.84795596,0.704843231
you,need,to,watch,15,0.010821778,0.000914146,0.02759208,0.00044392,1.21E-10,2.60E-06,0.791080969,18.96139662,0.704843106
more,video,if,you,15,0.00241032,0.001417255,0.003620412,0.010821778,1.34E-10,2.87E-06,0.873770172,17.16698565,0.704843048
dog,of,the,year,15,0.00026964,0.01604359,0.032968442,0.001223246,1.74E-10,3.75E-06,1.138979951,13.1696787,0.70484292
suicide,it,is,a,15,0.000121667,0.007714339,0.011732635,0.021117428,2.33E-10,4.99E-06,1.518188326,9.88019717,0.704842814
and,more,video,if,15,0.022837206,0.00241032,0.001417255,0.003620412,2.82E-10,6.06E-06,1.84391791,8.134852381,0.704842758
why,you,need,to,15,0.001223246,0.010821778,0.000914146,0.02759208,3.34E-10,7.17E-06,2.179867558,6.881151998,0.704842717
need,to,watch,the,15,0.000914146,0.02759208,0.00044392,0.032968442,3.69E-10,7.92E-06,2.410020599,6.224013192,0.704842696
in,the,south,and,15,0.012064753,0.032968442,0.000210451,0.022837206,1.91E-09,4.10E-05,12.48039713,1.201884832,0.704842535
comments,scott,disick,heading,14,0.000706983,0.000164415,6.25E-05,5.26E-05,3.82E-16,8.20E-12,2.49E-06,5612356.102,0.693603125
police,kaley,cuoco,may,14,0.00026964,4.60E-05,4.60E-05,0.001035813,5.92E-16,1.27E-11,3.86E-06,3622820.273,0.629575472
man,sam,hunt,manny,14,0.001706625,6.25E-05,5.59E-05,0.000105225,6.27E-16,1.35E-11,4.09E-06,3419065.402,0.623018191
gay,comments,scott,disick,14,0.000128243,0.000706983,0.000164415,6.25E-05,9.31E-16,2.00E-11,6.08E-06,2302505.067,0.587084815
weeknds,big,night,ended,14,4.60E-05,0.000420902,0.000473514,0.000105225,9.65E-16,2.07E-11,6.30E-06,2221144.387,0.584466449
page,var,addthis_config,data_track_addressbar,12,0.00024991,0.00024991,4.60E-05,4.60E-05,1.32E-16,2.84E-12,8.64E-07,13886641.42,0.576173135
anti,gay,comments,scott,14,9.86E-05,0.000128243,0.000706983,0.000164415,1.47E-15,3.16E-11,9.60E-06,1458253.209,0.559914928
live,paul,mccartney,music,14,0.000723425,0.000108514,5.92E-05,0.000388019,1.80E-15,3.87E-11,1.18E-05,1189422.456,0.551263361
shopping,at,jacob,co,14,8.22E-05,0.003774962,4.60E-05,0.000180856,2.58E-15,5.55E-11,1.69E-05,829955.1898,0.539694911
tmz,live,paul,mccartney,14,0.000805632,0.000723425,0.000108514,5.92E-05,3.74E-15,8.04E-11,2.44E-05,572864.6933,0.531421172
with,police,kaley,cuoco,14,0.008704116,0.00026964,4.60E-05,4.60E-05,4.97E-15,1.07E-10,3.25E-05,431125.1931,0.526859682
party,kanye,west,shopping,14,0.000335406,0.000450496,0.00040446,8.22E-05,5.02E-15,1.08E-10,3.28E-05,426836.3602,0.526721658
legend,rejected,at,grammy,14,9.86E-05,5.26E-05,0.003774962,0.000263064,5.15E-15,1.11E-10,3.36E-05,416058.2657,0.526374795
west,shopping,at,jacob,14,0.00040446,8.22E-05,0.003774962,4.60E-05,5.78E-15,1.24E-10,3.77E-05,371118.1743,0.524928524
disick,heading,to,dancing,14,6.25E-05,5.26E-05,0.02759208,6.58E-05,5.96E-15,1.28E-10,3.89E-05,359509.1651,0.52455492
staff,tmz,live,paul,14,9.86E-05,0.000805632,0.000723425,0.000108514,6.24E-15,1.34E-10,4.07E-05,343718.816,0.524046752
big,night,ended,face,14,0.000420902,0.000473514,0.000105225,0.000318965,6.69E-15,1.44E-10,4.37E-05,320577.5404,0.523302014
music,legend,rejected,at,14,0.000388019,9.86E-05,5.26E-05,0.003774962,7.60E-15,1.63E-10,4.96E-05,282073.4005,0.522062866
hunt,manny,pacquiao,is,14,5.59E-05,0.000105225,0.000111802,0.011732635,7.72E-15,1.66E-10,5.04E-05,277923.0738,0.5219293
new,man,sam,hunt,14,0.001854598,0.001706625,6.25E-05,5.59E-05,1.11E-14,2.37E-10,7.22E-05,193989.5264,0.519228133
kaley,cuoco,may,have,14,4.60E-05,4.60E-05,0.001035813,0.005576948,1.22E-14,2.63E-10,7.99E-05,175159.9424,0.518622155
scott,disick,heading,to,14,0.000164415,6.25E-05,5.26E-05,0.02759208,1.49E-14,3.20E-10,9.74E-05,143803.6661,0.517613041
rundown,the,weeknds,big,14,4.60E-05,0.032968442,4.60E-05,0.000420902,2.94E-14,6.31E-10,0.000191997,72917.79471,0.515331777
on,youtube,trending,search,14,0.007816276,0.000108514,0.000226892,0.000164415,3.16E-14,6.79E-10,0.000206568,67774.30148,0.515166248
face,with,police,kaley,14,0.000318965,0.008704116,0.00026964,4.60E-05,3.45E-14,7.40E-10,0.000224993,62224.25467,0.514987636
tmz,staff,tmz,live,14,0.000805632,9.86E-05,0.000805632,0.000723425,4.63E-14,9.94E-10,0.000302397,46296.82011,0.514475056
stars,looks,like,kanye,14,0.000141397,0.000259775,0.00312388,0.000450496,5.17E-14,1.11E-09,0.000337474,41484.6612,0.51432019
kanye,west,shopping,at,14,0.000450496,0.00040446,8.22E-05,0.003774962,5.65E-14,1.21E-09,0.000369155,37924.48497,0.514205615
grammy,after,party,kanye,14,0.000263064,0.001509327,0.000335406,0.000450496,6.00E-14,1.29E-09,0.000391673,35744.05794,0.514135445
rejected,at,grammy,after,14,5.26E-05,0.003774962,0.000263064,0.001509327,7.89E-14,1.69E-09,0.000514832,27193.3507,0.513860264
bossip,newsletter,trending,on,14,0.000213739,0.000226892,0.000226892,0.007816276,8.60E-14,1.85E-09,0.000561489,24933.68951,0.513787543
after,party,kanye,west,14,0.001509327,0.000335406,0.000450496,0.00040446,9.22E-14,1.98E-09,0.000602198,23248.16777,0.513733299
over,his,anti,gay,14,0.001262705,0.006356274,9.86E-05,0.000128243,1.02E-13,2.18E-09,0.000662903,21119.242,0.513664786
water,over,his,anti,14,0.000128243,0.001262705,0.006356274,9.86E-05,1.02E-13,2.18E-09,0.000662903,21119.242,0.513664786
newsletter,trending,on,social,14,0.000226892,0.000226892,0.007816276,0.000351848,1.42E-13,3.04E-09,0.000924298,15146.63381,0.513472574
by,tmz,staff,tmz,14,0.002772032,0.000805632,9.86E-05,0.000805632,1.77E-13,3.81E-09,0.001158729,12082.20691,0.513373954
hot,water,over,his,14,0.000263064,0.000128243,0.001262705,0.006356274,2.71E-13,5.81E-09,0.00176774,7919.715751,0.513239996
ended,face,to,face,14,0.000105225,0.000318965,0.02759208,0.000318965,2.95E-13,6.34E-09,0.001928448,7259.723815,0.513218756
the,weeknds,big,night,14,0.032968442,4.60E-05,0.000420902,0.000473514,3.02E-13,6.49E-09,0.001974827,7089.230042,0.513213269
trending,on,social,find,14,0.000226892,0.007816276,0.000351848,0.000605046,3.78E-13,8.10E-09,0.002464794,5679.98768,0.513167916
night,ended,face,to,14,0.000473514,0.000105225,0.000318965,0.02759208,4.39E-13,9.41E-09,0.002862851,4890.230625,0.5131425
at,grammy,after,party,14,0.003774962,0.000263064,0.001509327,0.000335406,5.03E-13,1.08E-08,0.003282052,4265.623639,0.513122399
in,hot,water,over,14,0.012064753,0.000263064,0.000128243,0.001262705,5.14E-13,1.10E-08,0.003355323,4172.474938,0.513119401
heading,to,dancing,with,14,5.26E-05,0.02759208,6.58E-05,0.008704116,8.31E-13,1.78E-08,0.005425233,2580.534242,0.513068169
manny,pacquiao,is,in,14,0.000105225,0.000111802,0.011732635,0.012064753,1.67E-12,3.57E-08,0.010871819,1287.732967,0.513026564
edition,this,content,is,14,0.000147973,0.006764022,0.000184145,0.011732635,2.16E-12,4.64E-08,0.014117586,991.6709443,0.513017036
the,rundown,the,weeknds,14,0.032968442,4.60E-05,0.032968442,4.60E-05,2.30E-12,4.95E-08,0.015038767,930.9273612,0.513015081
social,find,us,on,14,0.000351848,0.000605046,0.001397525,0.007816276,2.33E-12,4.99E-08,0.015181703,922.1627057,0.513014799
on,social,find,us,14,0.007816276,0.000351848,0.000605046,0.001397525,2.33E-12,4.99E-08,0.015181703,922.1627057,0.513014799
dancing,with,the,stars,14,6.58E-05,0.008704116,0.032968442,0.000141397,2.67E-12,5.73E-08,0.017421312,803.6134078,0.513010984
the,stars,looks,like,14,0.032968442,0.000141397,0.000259775,0.00312388,3.78E-12,8.12E-08,0.024697194,566.8660068,0.513003365
pacquiao,is,in,hot,14,0.000111802,0.011732635,0.012064753,0.000263064,4.16E-12,8.94E-08,0.027179548,515.0931867,0.513001699
a,new,man,sam,14,0.021117428,0.001854598,0.001706625,6.25E-05,4.18E-12,8.96E-08,0.027262842,513.5194563,0.513001648
find,out,when,tmz,14,0.000605046,0.003127168,0.002801627,0.000805632,4.27E-12,9.17E-08,0.027880772,502.1381842,0.513001282
out,when,tmz,live,14,0.003127168,0.002801627,0.000805632,0.000723425,5.11E-12,1.10E-07,0.033335705,419.9701177,0.512998637
cuoco,may,have,a,14,4.60E-05,0.001035813,0.005576948,0.021117428,5.62E-12,1.21E-07,0.036663634,381.8497655,0.512997411
may,like,find,out,14,0.001035813,0.00312388,0.000605046,0.003127168,6.12E-12,1.31E-07,0.039969919,350.2634071,0.512996394
impacted,by,the,drama,14,4.93E-05,0.002772032,0.032968442,0.001381084,6.23E-12,1.34E-07,0.040644014,344.4541667,0.512996207
live,is,on,near,14,0.000723425,0.011732635,0.007816276,0.000157838,1.05E-11,2.25E-07,0.068362622,204.7902713,0.512991712
with,the,stars,looks,14,0.008704116,0.032968442,0.000141397,0.000259775,1.05E-11,2.26E-07,0.068814183,203.4464324,0.512991669
on,near,you,around,14,0.007816276,0.000157838,0.010821778,0.000815497,1.09E-11,2.34E-07,0.071080545,196.9596594,0.51299146
heres,the,rundown,the,14,0.00024991,0.032968442,4.60E-05,0.032968442,1.25E-11,2.68E-07,0.081639023,171.4866192,0.512990641
like,find,out,when,14,0.00312388,0.000605046,0.003127168,0.002801627,1.66E-11,3.55E-07,0.108109114,129.4987949,0.512989289
when,tmz,live,is,14,0.002801627,0.000805632,0.000723425,0.011732635,1.92E-11,4.11E-07,0.125070237,111.9371026,0.512988724
to,face,with,police,14,0.02759208,0.000318965,0.008704116,0.00026964,2.07E-11,4.43E-07,0.134850952,103.818325,0.512988463
you,may,like,find,14,0.010821778,0.001035813,0.00312388,0.000605046,2.12E-11,4.55E-07,0.138318615,101.215588,0.512988379
face,to,face,with,14,0.000318965,0.02759208,0.000318965,0.008704116,2.44E-11,5.25E-07,0.159518809,87.76394487,0.512987946
not,going,to,vote,14,0.005146181,0.001068696,0.02759208,0.000187433,2.84E-11,6.11E-07,0.185689372,75.39472948,0.512987548
near,you,around,the,14,0.000157838,0.010821778,0.000815497,0.032968442,4.59E-11,9.86E-07,0.299812178,46.69590171,0.512986625
you,may,also,like,14,0.010821778,0.001035813,0.001331759,0.00312388,4.66E-11,1.00E-06,0.3044513,45.98436591,0.512986602
tmz,live,is,on,14,0.000805632,0.000723425,0.011732635,0.007816276,5.34E-11,1.15E-06,0.348934219,40.12217559,0.512986413
what,do,you,think,14,0.002982483,0.002541852,0.010821778,0.001548787,1.27E-10,2.73E-06,0.829538103,16.87686189,0.512985665
thank,you,for,your,14,0.000332118,0.010821778,0.008924432,0.004748297,1.52E-10,3.27E-06,0.994322029,14.07994552,0.512985575
is,on,near,you,14,0.011732635,0.007816276,0.000157838,0.010821778,1.57E-10,3.36E-06,1.022642684,13.69002117,0.512985562
to,vote,for,him,14,0.02759208,0.000187433,0.008924432,0.003446133,1.59E-10,3.41E-06,1.038389939,13.48241106,0.512985556
may,have,a,new,14,0.001035813,0.005576948,0.021117428,0.001854598,2.26E-10,4.86E-06,1.477020679,9.478540279,0.512985427
anything,to,do,with,14,0.00042419,0.02759208,0.002541852,0.008704116,2.59E-10,5.56E-06,1.690587429,8.281145214,0.512985388
have,a,new,man,14,0.005576948,0.021117428,0.001854598,0.001706625,3.73E-10,8.00E-06,2.433567405,5.752871268,0.512985307
to,dancing,with,the,14,0.02759208,6.58E-05,0.008704116,0.032968442,5.21E-10,1.12E-05,3.399586744,4.118147603,0.512985254
you,need,to,know,14,0.010821778,0.000914146,0.02759208,0.002170274,5.92E-10,1.27E-05,3.867506957,3.61990299,0.512985238
with,his,baby,mama,14,0.008704116,0.006356274,0.006152399,0.00366316,1.25E-09,2.68E-05,8.140396192,1.719818013,0.512985177
formally,arraigned,before,judge,13,4.60E-05,4.27E-05,0.001032525,0.000315676,6.41E-16,1.38E-11,4.19E-06,3104347.388,0.421032496
before,judge,robert,glusman,13,0.001032525,0.000315676,0.00011509,4.27E-05,1.60E-15,3.44E-11,1.05E-05,1241738.955,0.361089647
arraigned,before,judge,robert,13,4.27E-05,0.001032525,0.000315676,0.00011509,1.60E-15,3.44E-11,1.05E-05,1241738.955,0.361089647
robert,glusman,on,monday,13,0.00011509,4.27E-05,0.007816276,0.00015455,5.94E-15,1.28E-10,3.88E-05,335045.7761,0.33191026
glusman,on,monday,april,13,4.27E-05,0.007816276,0.00015455,0.000167703,8.66E-15,1.86E-10,5.65E-05,229933.3758,0.328527511
grinsells,bail,was,set,13,0.000157838,4.27E-05,0.005981408,0.000266352,1.07E-14,2.31E-10,7.02E-05,185242.3475,0.327089255
be,formally,arraigned,before,13,0.005813705,4.60E-05,4.27E-05,0.001032525,1.18E-14,2.54E-10,7.71E-05,168561.8491,0.32655244
2016,interactive,one,llc,13,0.000943741,5.26E-05,0.002456356,9.86E-05,1.20E-14,2.58E-10,7.85E-05,165500.3237,0.326453913
judge,robert,glusman,on,13,0.000315676,0.00011509,4.27E-05,0.007816276,1.21E-14,2.61E-10,7.93E-05,164032.8279,0.326406686
pdt,by,tmz,staff,13,6.25E-05,0.002772032,0.000805632,9.86E-05,1.38E-14,2.95E-10,8.99E-05,144668.5301,0.3257835
will,be,formally,arraigned,13,0.002499104,0.005813705,4.60E-05,4.27E-05,2.86E-14,6.14E-10,0.000186667,69642.65871,0.323369002
copyright,2016,interactive,one,13,0.000299235,0.000943741,5.26E-05,0.002456356,3.65E-14,7.83E-10,0.000238267,54560.54628,0.322883627
on,monday,april,12,13,0.007816276,0.00015455,0.000167703,0.000355136,7.19E-14,1.54E-09,0.000469701,27677.1656,0.32201846
bail,was,set,at,13,4.27E-05,0.005981408,0.000266352,0.003774962,2.57E-13,5.52E-09,0.001678432,7745.324632,0.321377009
set,at,1,million,13,0.000266352,0.003774962,0.000871398,0.000322253,2.82E-13,6.06E-09,0.001843315,7052.510265,0.321354713
a,long,term,relationship,13,0.021117428,0.000591893,0.000276217,0.001124597,3.88E-12,8.34E-08,0.025348308,512.8547533,0.321144253
was,set,at,1,13,0.005981408,0.000266352,0.003774962,0.000871398,5.24E-12,1.13E-07,0.034214189,379.9593216,0.321139976
she,will,be,formally,13,0.007934655,0.002499104,0.005813705,4.60E-05,5.31E-12,1.14E-07,0.034648304,375.1987415,0.321139823
1,million,she,will,13,0.000871398,0.000322253,0.007934655,0.002499104,5.57E-12,1.20E-07,0.036353283,357.6018194,0.321139256
at,1,million,she,13,0.003774962,0.000871398,0.000322253,0.007934655,8.41E-12,1.81E-07,0.05491259,236.7398804,0.321135367
vote,for,him,because,13,0.000187433,0.008924432,0.003446133,0.001917076,1.11E-11,2.37E-07,0.072146506,180.1889054,0.321133547
see,all,see,all,13,0.00152248,0.00395253,0.00152248,0.00395253,3.62E-11,7.77E-07,0.236413181,54.98847381,0.321129517
million,she,will,be,13,0.000322253,0.007934655,0.002499104,0.005813705,3.72E-11,7.98E-07,0.242538127,53.59982021,0.321129473
on,the,other,hand,13,0.007816276,0.032968442,0.001364642,0.000207163,7.28E-11,1.56E-06,0.475604874,27.33361389,0.321128627
the,baby,mama,syndrome,13,0.032968442,0.006152399,0.00366316,0.00013482,1.00E-10,2.15E-06,0.653990296,19.87797079,0.321128388
her,family,and,friends,13,0.008010286,0.00123311,0.022837206,0.000473514,1.07E-10,2.29E-06,0.697339173,18.64229129,0.321128348
i,dont,know,if,13,0.014264622,0.002686537,0.002170274,0.003620412,3.01E-10,6.46E-06,1.965819449,6.613018304,0.321127961
sign,up,for,the,13,0.000805632,0.003225817,0.008924432,0.032968442,7.65E-10,1.64E-05,4.991986522,2.604173698,0.321127832
adult,content,spam,insulting,9,7.89E-05,0.000184145,7.23E-05,5.92E-05,6.22E-17,1.34E-12,4.06E-07,22153751.81,0.266654867
vs,oj,simpson,really,12,8.22E-05,5.26E-05,8.55E-05,0.001265993,4.68E-16,1.01E-11,3.06E-06,3926326.475,0.255628223
people,vs,oj,simpson,12,0.00152248,8.22E-05,5.26E-05,8.55E-05,5.63E-16,1.21E-11,3.68E-06,3264871.907,0.234341156
0,replies,0,likes,12,0.000361712,5.59E-05,0.000361712,9.54E-05,6.97E-16,1.50E-11,4.55E-06,2635409.989,0.214083682
attorney,dennis,lattimer,said,12,0.000121667,4.60E-05,7.89E-05,0.001703337,7.53E-16,1.62E-11,4.92E-06,2441235.721,0.207834726
overall,mental,state,saying,12,4.27E-05,0.000157838,0.00024991,0.000470226,7.93E-16,1.70E-11,5.18E-06,2318175.213,0.203874367
dennis,lattimer,said,grinsell,12,4.60E-05,7.89E-05,0.001703337,0.000207163,1.28E-15,2.75E-11,8.37E-06,1433741.614,0.175411342
hours,ago,0,replies,12,0.000184145,0.000437343,0.000361712,5.59E-05,1.63E-15,3.50E-11,1.06E-05,1128753.741,0.16559616
premieres,on,pbss,independent,12,4.60E-05,0.007816276,3.95E-05,0.000184145,2.61E-15,5.61E-11,1.71E-05,702997.8338,0.151894395
characterize,her,overall,mental,12,5.26E-05,0.008010286,4.27E-05,0.000157838,2.84E-15,6.10E-11,1.86E-05,646395.9415,0.150072821
ago,0,replies,0,12,0.000437343,0.000361712,5.59E-05,0.000361712,3.20E-15,6.87E-11,2.09E-05,574638.2682,0.147763501
8907,fatherswithvoices,yahoo,com,11,3.62E-05,9.86E-05,5.92E-05,0.001226534,2.59E-16,5.56E-12,1.69E-06,6504241.223,0.146733834
investigation,grinsells,bail,was,12,0.000111802,0.000157838,4.27E-05,0.005981408,4.51E-15,9.69E-11,2.95E-05,407365.5243,0.142380295
that,investigation,grinsells,bail,12,0.011456419,0.000111802,0.000157838,4.27E-05,8.64E-15,1.86E-10,5.64E-05,212685.9612,0.136115077
pbss,independent,lens,on,12,3.95E-05,0.000184145,0.000157838,0.007816276,8.96E-15,1.92E-10,5.85E-05,205041.0349,0.135869047
on,pbss,independent,lens,12,0.007816276,3.95E-05,0.000184145,0.000157838,8.96E-15,1.92E-10,5.85E-05,205041.0349,0.135869047
upset,and,somewhat,dazed,12,0.000141397,0.022837206,7.23E-05,3.95E-05,9.22E-15,1.98E-10,6.02E-05,199404.9086,0.135687664
her,overall,mental,state,12,0.008010286,4.27E-05,0.000157838,0.00024991,1.35E-14,2.90E-10,8.82E-05,136083.3561,0.133649836
strategy,might,be,lattimer,12,9.54E-05,0.000414325,0.005813705,7.89E-05,1.81E-14,3.89E-10,0.000118349,101395.4418,0.132533503
rich,homie,quan,young,9,0.000141397,3.62E-05,2.96E-05,0.000506397,7.66E-17,1.65E-12,5.00E-07,17985286.88,0.132504468
this,page,var,addthis_config,12,0.006764022,0.00024991,0.00024991,4.60E-05,1.94E-14,4.18E-10,0.000126967,94512.87306,0.132312006
asimplebijou,in,talk,ish,12,3.95E-05,0.012064753,0.000542569,7.56E-05,1.95E-14,4.19E-10,0.000127539,94089.19205,0.132298372
defense,strategy,might,be,12,8.88E-05,9.54E-05,0.000414325,0.005813705,2.04E-14,4.38E-10,0.000133142,90129.2816,0.132170933
oj,simpson,really,about,12,5.26E-05,8.55E-05,0.001265993,0.003791404,2.16E-14,4.64E-10,0.000140956,85132.83771,0.132010136
his,defense,strategy,might,12,0.006356274,8.88E-05,9.54E-05,0.000414325,2.23E-14,4.79E-10,0.000145568,82435.88715,0.131923342
conducting,his,own,investigation,12,4.27E-05,0.006356274,0.00086811,0.000111802,2.64E-14,5.66E-10,0.000172171,69698.33877,0.13151342
base,his,court,strategy,12,6.58E-05,0.006356274,0.0006741,9.54E-05,2.69E-14,5.77E-10,0.000175434,68401.68002,0.131471691
dazed,from,her,ordeal,12,3.95E-05,0.003271853,0.008010286,4.93E-05,5.10E-14,1.10E-09,0.000333023,36033.5962,0.130430014
our,international,audience,would,12,0.001535634,0.000167703,0.000108514,0.002259058,6.31E-14,1.36E-09,0.000412153,29115.39884,0.130207371
lattimer,said,grinsell,had,12,7.89E-05,0.001703337,0.000207163,0.002505681,6.98E-14,1.50E-09,0.000455551,26341.70944,0.130118108
somewhat,dazed,from,her,12,7.23E-05,3.95E-05,0.003271853,0.008010286,7.48E-14,1.61E-09,0.000488433,24568.36105,0.130061038
mental,state,saying,she,12,0.000157838,0.00024991,0.000470226,0.007934655,1.47E-13,3.16E-09,0.000960835,12489.13293,0.129672302
what,his,defense,strategy,12,0.002982483,0.006356274,8.88E-05,9.54E-05,1.61E-13,3.45E-09,0.001047856,11451.95345,0.129638923
ordeal,when,asked,what,12,4.93E-05,0.002801627,0.000407749,0.002982483,1.68E-13,3.61E-09,0.001097136,10937.56511,0.129622369
and,somewhat,dazed,from,12,0.022837206,7.23E-05,3.95E-05,0.003271853,2.13E-13,4.58E-09,0.001392515,8617.498561,0.129547704
the,people,vs,oj,12,0.032968442,0.00152248,8.22E-05,5.26E-05,2.17E-13,4.66E-09,0.001417325,8466.653658,0.129542849
still,upset,and,somewhat,12,0.001019371,0.000141397,0.022837206,7.23E-05,2.38E-13,5.11E-09,0.001554626,7718.899687,0.129518785
