w1,w2,w3,count,p1,p2,p3,joint.prob.nonnorm,joint.prob,expected,disparity,score
in,hot,water,16,0.012064753,0.000263064,0.000128243,4.07E-10,5.94E-08,0.018057736,886.0468295,0.078557906
a,reply,cancel,16,0.021117428,0.000358424,5.92E-05,4.48E-10,6.54E-08,0.01987606,804.9885024,0.07823568
my,husbands,ex,16,0.005422398,0.000144685,0.000683965,5.37E-10,7.83E-08,0.023806616,672.0820782,0.077707346
film,video,lhhnys,15,0.000161126,0.001417255,4.93E-05,1.13E-11,1.64E-09,0.000499719,30016.8869,0.077671183
hop,cast,talk,15,0.000170991,0.000121667,0.000542569,1.13E-11,1.65E-09,0.000500784,29953.06343,0.07741747
for,valentines,day,16,0.008924432,0.000138108,0.001052254,1.30E-09,1.89E-07,0.057540034,278.0672678,0.076141045
shes,scared,of,16,0.000776038,0.000147973,0.01604359,1.84E-09,2.69E-07,0.081736556,195.7508456,0.075813818
it,last,night,16,0.007714339,0.0006741,0.000473514,2.46E-09,3.59E-07,0.109245954,146.4585131,0.07561787
face,to,face,16,0.000318965,0.02759208,0.000318965,2.81E-09,4.10E-07,0.124542675,128.4700201,0.075546361
taking,care,of,16,0.000279505,0.000690542,0.01604359,3.10E-09,4.52E-07,0.137382065,116.4635283,0.075498633
alleged,baby,mama,16,0.00017428,0.006152399,0.00366316,3.93E-09,5.73E-07,0.174259253,91.81721883,0.075400658
a,few,months,16,0.021117428,0.000414325,0.000522839,4.57E-09,6.67E-07,0.202954634,78.83535199,0.075349052
vote,for,him,16,0.000187433,0.008924432,0.003446133,5.76E-09,8.41E-07,0.2557449,62.56234229,0.075284363
find,us,on,16,0.000605046,0.001397525,0.007816276,6.61E-09,9.64E-07,0.293222259,54.56611662,0.075252576
him,back,after,16,0.003446133,0.001282435,0.001509327,6.67E-09,9.73E-07,0.295937211,54.06552275,0.075250586
up,sign,up,16,0.003225817,0.000805632,0.003225817,8.38E-09,1.22E-06,0.371933331,43.01846231,0.075206671
need,to,watch,16,0.000914146,0.02759208,0.00044392,1.12E-08,1.63E-06,0.496767627,32.20821793,0.075163698
family,and,friends,16,0.00123311,0.022837206,0.000473514,1.33E-08,1.95E-06,0.591598427,27.04537277,0.075143174
blessings,to,you,16,7.56E-05,0.02759208,0.010821778,2.26E-08,3.29E-06,1.001913989,15.96943468,0.075099145
baby,mamas,and,16,0.006152399,0.000365001,0.022837206,5.13E-08,7.48E-06,2.275254685,7.032179784,0.075063617
need,to,know,16,0.000914146,0.02759208,0.002170274,5.47E-08,7.99E-06,2.428641733,6.588044578,0.075061852
the,term,baby,16,0.032968442,0.000276217,0.006152399,5.60E-08,8.17E-06,2.485660293,6.436921426,0.075061251
comments,get,the,16,0.000706983,0.002604329,0.032968442,6.07E-08,8.86E-06,2.69309915,5.941110636,0.07505928
im,going,to,16,0.002097932,0.001068696,0.02759208,6.19E-08,9.03E-06,2.744598122,5.82963308,0.075058837
need,to,get,16,0.000914146,0.02759208,0.002604329,6.57E-08,9.58E-06,2.91437008,5.490037148,0.075057487
relationship,with,her,16,0.001124597,0.008704116,0.008010286,7.84E-08,1.14E-05,3.478710854,4.599404972,0.075053946
are,trying,to,16,0.004843658,0.000611623,0.02759208,8.17E-08,1.19E-05,3.626522808,4.411939715,0.075053201
in,order,to,16,0.012064753,0.00024991,0.02759208,8.32E-08,1.21E-05,3.690931848,4.334948642,0.075052895
your,baby,mama,16,0.004748297,0.006152399,0.00366316,1.07E-07,1.56E-05,4.747742677,3.370022575,0.075049059
his,son,and,16,0.006356274,0.001282435,0.022837206,1.86E-07,2.72E-05,8.259042712,1.937270524,0.075043364
not,want,to,16,0.005146181,0.001706625,0.02759208,2.42E-07,3.54E-05,10.75118715,1.488207747,0.075041579
sign,in,to,16,0.000805632,0.012064753,0.02759208,2.68E-07,3.91E-05,11.89839872,1.344718762,0.075041008
to,try,and,16,0.02759208,0.000486668,0.022837206,3.07E-07,4.47E-05,13.6053177,1.176010759,0.075040338
scared,video,lhhatl,15,0.000147973,0.001417255,5.59E-05,1.17E-11,1.71E-09,0.000520115,28839.75408,0.072991804
video,jason,derulo,15,0.001417255,0.000128243,6.58E-05,1.20E-11,1.74E-09,0.000530314,28285.14342,0.070787097
explain,color,issues,15,0.000138108,0.000207163,0.000437343,1.25E-11,1.83E-09,0.00055514,27020.21356,0.065758705
interactive,one,llc,15,5.26E-05,0.002456356,9.86E-05,1.27E-11,1.86E-09,0.000565618,26519.68852,0.063769001
says,rihanna,pulled,15,0.000930587,0.000141397,9.86E-05,1.30E-11,1.89E-09,0.000575887,26046.78422,0.061889096
williams,breaks,down,15,0.00017428,0.00011509,0.000677389,1.36E-11,1.98E-09,0.000602798,24883.93875,0.057266513
video,wendy,williams,15,0.001417255,5.59E-05,0.00017428,1.38E-11,2.01E-09,0.00061258,24486.58365,0.055686934
day,meelah,stupid,15,0.001052254,4.93E-05,0.00026964,1.40E-11,2.04E-09,0.000620892,24158.78942,0.054383875
shade,at,gizelle,15,7.56E-05,0.003774962,4.93E-05,1.41E-11,2.05E-09,0.000624773,24008.73483,0.053787373
man,sam,hunt,14,0.001706625,6.25E-05,5.59E-05,5.96E-12,8.70E-10,0.000264442,52941.61123,0.052113697
grammy,recap,says,15,0.000263064,6.58E-05,0.000930587,1.61E-11,2.35E-09,0.000714278,21000.21978,0.041827821
lives,matter,suicide,15,0.000348559,0.000381442,0.000121667,1.62E-11,2.36E-09,0.000717673,20900.88518,0.041432943
celebrities,news,exclusives,15,0.000184145,0.001792121,4.93E-05,1.63E-11,2.37E-09,0.000722166,20770.85958,0.040916061
throws,shade,at,15,5.92E-05,7.56E-05,0.003774962,1.69E-11,2.47E-09,0.000749727,20007.27902,0.03788065
photos,info,topic,15,0.000568875,0.000194009,0.00015455,1.71E-11,2.49E-09,0.000756758,19821.39816,0.03714173
sings,how,dumb,15,4.93E-05,0.002298518,0.000151262,1.71E-11,2.50E-09,0.000760829,19715.32731,0.036720073
matters,2015,bossip,15,0.000124955,0.000644506,0.000213739,1.72E-11,2.51E-09,0.000763685,19641.61678,0.036427057
documentary,film,video,15,7.56E-05,0.000161126,0.001417255,1.73E-11,2.52E-09,0.000766235,19576.23059,0.036167131
news,exclusives,videos,15,0.001792121,4.93E-05,0.000197298,1.74E-11,2.54E-09,0.000773749,19386.13561,0.035411459
video,starring,k,15,0.001417255,6.91E-05,0.000180856,1.77E-11,2.58E-09,0.000785272,19101.6553,0.034280583
adult,content,spam,9,7.89E-05,0.000184145,7.23E-05,1.05E-12,1.53E-10,4.66E-05,192956.5649,0.025262756
race,matters,2015,15,0.00026964,0.000124955,0.000644506,2.17E-11,3.17E-09,0.000963417,15569.57428,0.020239735
how,dumb,thou,15,0.002298518,0.000151262,6.25E-05,2.17E-11,3.17E-09,0.000963717,15564.73209,0.020220486
videos,photos,info,15,0.000197298,0.000568875,0.000194009,2.18E-11,3.18E-09,0.000966074,15526.76189,0.020069546
with,mimi,faust,15,0.008704116,5.26E-05,4.93E-05,2.26E-11,3.30E-09,0.001002135,14968.04482,0.017848515
threesome,with,mimi,15,4.93E-05,0.008704116,5.26E-05,2.26E-11,3.30E-09,0.001002135,14968.04482,0.017848515
characters,on,underground,15,5.92E-05,0.007816276,4.93E-05,2.28E-11,3.33E-09,0.001012404,14816.21639,0.017244961
preacher,talks,new,15,5.26E-05,0.000243334,0.001854598,2.37E-11,3.46E-09,0.001053396,14239.65449,0.014952993
comments,scott,disick,14,0.000706983,0.000164415,6.25E-05,7.26E-12,1.06E-09,0.000322198,43451.51962,0.014388363
video,vv,brown,15,0.001417255,4.93E-05,0.000358424,2.51E-11,3.66E-09,0.001111619,13493.82989,0.011988165
gizelle,video,exclusive,15,4.93E-05,0.001417255,0.000381442,2.67E-11,3.89E-09,0.001183008,12679.54705,0.008751201
underground,video,exclusive,15,4.93E-05,0.001417255,0.000381442,2.67E-11,3.89E-09,0.001183008,12679.54705,0.008751201
video,exclusive,stevie,15,0.001417255,0.000381442,4.93E-05,2.67E-11,3.89E-09,0.001183008,12679.54705,0.008751201
whiteface,music,video,15,4.93E-05,0.000388019,0.001417255,2.71E-11,3.96E-09,0.001203404,12464.63947,0.007896893
scrappy,video,end,15,5.26E-05,0.001417255,0.00038473,2.87E-11,4.19E-09,0.001272753,11785.47643,0.005197061
music,video,sacrifice,15,0.000388019,0.001417255,5.26E-05,2.89E-11,4.22E-09,0.001283631,11685.59951,0.004800027
black,panther,party,15,0.001555363,5.59E-05,0.000335406,2.92E-11,4.25E-09,0.001293812,11593.6457,0.004434489
video,lhhatl,exclusive,15,0.001417255,5.59E-05,0.000381442,3.02E-11,4.41E-09,0.001340742,11187.83563,0.002821299
video,brothermans,girlfriend,15,0.001417255,4.93E-05,0.000440631,3.08E-11,4.49E-09,0.001366578,10976.32431,0.001980492
wheel,new,couple,15,5.92E-05,0.001854598,0.0003091,3.39E-11,4.95E-09,0.00150536,9964.391794,-0.002042177
closed,contact,eric,11,7.89E-05,0.000302523,8.22E-05,1.96E-12,2.86E-10,8.71E-05,126325.9598,-0.006232233
music,video,starring,15,0.000388019,0.001417255,6.91E-05,3.80E-11,5.54E-09,0.001684766,8903.313911,-0.00626021
gotti,sliding,in,15,6.25E-05,5.26E-05,0.012064753,3.97E-11,5.79E-09,0.001759472,8525.286106,-0.007762959
video,exclusive,beef,15,0.001417255,0.000381442,7.56E-05,4.09E-11,5.96E-09,0.001813945,8269.269817,-0.008780683
topic,results,we,15,0.00015455,7.89E-05,0.003485592,4.25E-11,6.20E-09,0.001886149,7952.712696,-0.010039072
rihanna,pulled,out,15,0.000141397,9.86E-05,0.003127168,4.36E-11,6.36E-09,0.001935224,7751.040941,-0.010840764
housewives,of,potomacs,15,5.59E-05,0.01604359,4.93E-05,4.42E-11,6.45E-09,0.001962601,7642.919046,-0.011270574
dumb,thou,are,15,0.000151262,6.25E-05,0.004843658,4.58E-11,6.68E-09,0.002030838,7386.115228,-0.012291429
pastor,manning,on,15,8.55E-05,6.91E-05,0.007816276,4.61E-11,6.73E-09,0.002047306,7326.700412,-0.012527617
video,exclusive,shots,15,0.001417255,0.000381442,8.88E-05,4.80E-11,7.00E-09,0.002129414,7044.192807,-0.013650651
michelle,naked,video,15,0.000588605,5.92E-05,0.001417255,4.94E-11,7.20E-09,0.002190604,6847.427645,-0.014432839
peter,gunz,i,15,6.25E-05,5.59E-05,0.014264622,4.98E-11,7.27E-09,0.002210309,6786.380218,-0.014675516
topics,celebrities,news,15,0.000157838,0.000184145,0.001792121,5.21E-11,7.60E-09,0.00231093,6490.893619,-0.015850145
5000,on,suicide,15,5.59E-05,0.007816276,0.000121667,5.32E-11,7.76E-09,0.002358527,6359.902107,-0.016370867
little,girl,receiving,15,0.000914146,0.000841803,7.23E-05,5.57E-11,8.12E-09,0.002469838,6073.273175,-0.017510284
page,var,addthis_config,12,0.00024991,0.00024991,4.60E-05,2.88E-12,4.19E-10,0.000127561,94073.00669,-0.017756639
video,dbs,exclusive,15,0.001417255,0.000105225,0.000381442,5.69E-11,8.30E-09,0.002523749,5943.537681,-0.018026013
of,potomacs,karen,15,0.01604359,4.93E-05,7.23E-05,5.72E-11,8.35E-09,0.002539836,5905.89199,-0.018175663
first,dirty,dog,15,0.001348201,0.000157838,0.00026964,5.74E-11,8.37E-09,0.002545657,5892.387664,-0.018229346
awards,who,wins,15,0.000220316,0.002857528,9.86E-05,6.21E-11,9.06E-09,0.00275535,5443.953716,-0.020011976
he,spent,5000,15,0.007599249,0.00015455,5.59E-05,6.57E-11,9.58E-09,0.00291278,5149.719016,-0.021181628
receiving,his,gifts,15,7.23E-05,0.006356274,0.000144685,6.65E-11,9.71E-09,0.002951673,5081.864098,-0.021451367
drops,music,video,15,0.000121667,0.000388019,0.001417255,6.69E-11,9.76E-09,0.002968397,5053.23222,-0.021565185
weeknds,big,night,14,4.60E-05,0.000420902,0.000473514,9.18E-12,1.34E-09,0.000407063,34392.72105,-0.021622481
spent,5000,on,15,0.00015455,5.59E-05,0.007816276,6.75E-11,9.85E-09,0.002995967,5006.731446,-0.021750037
little,scrappy,video,15,0.000914146,5.26E-05,0.001417255,6.82E-11,9.94E-09,0.003024148,4960.074611,-0.021935508
claudia,jordan,on,15,4.93E-05,0.000177568,0.007816276,6.85E-11,9.99E-09,0.003037213,4938.738796,-0.022020323
on,suicide,doors,15,0.007816276,0.000121667,7.23E-05,6.88E-11,1.00E-08,0.003052211,4914.46981,-0.022116798
growing,up,hip,15,0.000118379,0.003225817,0.000194009,7.41E-11,1.08E-08,0.003286885,4563.591245,-0.023511623
with,claudia,jordan,15,0.008704116,4.93E-05,0.000177568,7.62E-11,1.11E-08,0.003382205,4434.976244,-0.024022897
suicide,doors,for,15,0.000121667,7.23E-05,0.008924432,7.86E-11,1.15E-08,0.00348494,4304.235349,-0.024542623
last,night,heres,15,0.0006741,0.000473514,0.00024991,7.98E-11,1.16E-08,0.003539085,4238.384109,-0.024804397
his,anti,gay,15,0.006356274,9.86E-05,0.000128243,8.04E-11,1.17E-08,0.003567621,4204.482433,-0.024939164
awards,couples,who,15,0.000220316,0.000128243,0.002857528,8.07E-11,1.18E-08,0.003581956,4187.656705,-0.02500605
sliding,in,angela,15,5.26E-05,0.012064753,0.000128243,8.14E-11,1.19E-08,0.003611547,4153.344513,-0.025142449
a,demon,inspired,15,0.021117428,5.26E-05,7.89E-05,8.77E-11,1.28E-08,0.003890116,3855.926371,-0.026324756
results,we,broke,15,7.89E-05,0.003485592,0.000322253,8.86E-11,1.29E-08,0.003932821,3814.056089,-0.0264912
sacrifice,and,loses,15,5.26E-05,0.022837206,7.56E-05,9.09E-11,1.33E-08,0.004031634,3720.576078,-0.026862805
year,honors,video,15,0.001223246,5.26E-05,0.001417255,9.12E-11,1.33E-08,0.004046702,3706.722425,-0.026917877
white,fans,video,15,0.000476803,0.000147973,0.001417255,1.00E-10,1.46E-08,0.004436278,3381.212547,-0.028211855
back,after,impregnating,15,0.001282435,0.001509327,5.26E-05,1.02E-10,1.49E-08,0.004518125,3319.961006,-0.028455344
up,hip,hop,15,0.003225817,0.000194009,0.000170991,1.07E-10,1.56E-08,0.004747723,3159.409324,-0.029093574
meek,mill,and,15,6.91E-05,7.89E-05,0.022837206,1.24E-10,1.82E-08,0.005521585,2716.611104,-0.030853801
simmons,dms,and,15,0.000111802,5.26E-05,0.022837206,1.34E-10,1.96E-08,0.005959806,2516.860288,-0.031647857
bossip,awards,who,15,0.000213739,0.000220316,0.002857528,1.35E-10,1.96E-08,0.005969926,2512.594023,-0.031664816
night,heres,why,15,0.000473514,0.00024991,0.001223246,1.45E-10,2.11E-08,0.006422144,2335.668662,-0.032368136
exclusive,growing,up,15,0.000381442,0.000118379,0.003225817,1.46E-10,2.13E-08,0.00646235,2321.136926,-0.032425903
couples,who,wont,15,0.000128243,0.002857528,0.000414325,1.52E-10,2.22E-08,0.006736215,2226.769835,-0.032801034
legette,truly,believes,11,0.000180856,0.00017428,6.58E-05,2.07E-12,3.02E-10,9.20E-05,119608.7989,-0.032934518
meelah,stupid,in,15,4.93E-05,0.00026964,0.012064753,1.60E-10,2.34E-08,0.007118915,2107.062582,-0.033276899
gifts,and,sings,15,0.000144685,0.022837206,4.93E-05,1.63E-10,2.38E-08,0.007230647,2074.503025,-0.033406331
on,blast,race,15,0.007816276,7.89E-05,0.00026964,1.66E-10,2.43E-08,0.007379302,2032.712614,-0.033572457
problem,with,claudia,15,0.000388019,0.008704116,4.93E-05,1.67E-10,2.43E-08,0.007390745,2029.5654,-0.033584968
support,paying,little,15,0.001012795,0.000184145,0.000914146,1.70E-10,2.49E-08,0.007563878,1983.109608,-0.033769641
in,angela,simmons,15,0.012064753,0.000128243,0.000111802,1.73E-10,2.52E-08,0.007674538,1954.515065,-0.033883311
on,youtube,trending,15,0.007816276,0.000108514,0.000226892,1.92E-10,2.81E-08,0.008537942,1756.863603,-0.034669022
video,2015,bossip,15,0.001417255,0.000644506,0.000213739,1.95E-10,2.85E-08,0.008661791,1731.743475,-0.03476888
angry,he,spent,15,0.000170991,0.007599249,0.00015455,2.01E-10,2.93E-08,0.008909681,1683.561986,-0.034960413
scared,of,beyonce,15,0.000147973,0.01604359,8.55E-05,2.03E-10,2.96E-08,0.009004875,1665.764407,-0.035031162
order,against,no,15,0.00024991,0.000368289,0.002219599,2.04E-10,2.98E-08,0.009063509,1654.988081,-0.035074001
real,on,threesome,15,0.000542569,0.007816276,4.93E-05,2.09E-10,3.05E-08,0.009280372,1616.314515,-0.035227737
because,shes,scared,15,0.001917076,0.000776038,0.000147973,2.20E-10,3.21E-08,0.00976684,1535.808923,-0.035547766
here,first,dirty,15,0.001104867,0.001348201,0.000157838,2.35E-10,3.43E-08,0.010430986,1438.02318,-0.035936487
talk,characters,on,15,0.000542569,5.92E-05,0.007816276,2.51E-10,3.66E-08,0.011136446,1346.928763,-0.036298609
brothermans,girlfriend,is,15,4.93E-05,0.000440631,0.011732635,2.55E-10,3.72E-08,0.011313107,1325.895678,-0.03638222
at,gizelle,video,15,0.003774962,4.93E-05,0.001417255,2.64E-10,3.85E-08,0.011707695,1281.208587,-0.036559862
new,couple,put,15,0.001854598,0.0003091,0.000499821,2.87E-10,4.18E-08,0.012711932,1179.993765,-0.036962214
put,on,blast,15,0.000499821,0.007816276,7.89E-05,3.08E-10,4.50E-08,0.013678706,1096.594963,-0.037293744
talks,new,money,15,0.000243334,0.001854598,0.00071356,3.22E-10,4.70E-08,0.014286688,1049.928442,-0.037479254
next,15,dont,15,0.00046365,0.000259775,0.002686537,3.24E-10,4.72E-08,0.014355862,1044.869369,-0.037499365
more,2015,bossip,15,0.00241032,0.000644506,0.000213739,3.32E-10,4.84E-08,0.014731074,1018.255713,-0.037605161
matter,suicide,it,15,0.000381442,0.000121667,0.007714339,3.58E-10,5.22E-08,0.015883592,944.3707713,-0.037898871
of,days,creepy,15,0.01604359,0.000437343,5.26E-05,3.69E-10,5.39E-08,0.016378097,915.8573105,-0.038012218
girl,receiving,his,15,0.000841803,7.23E-05,0.006356274,3.87E-10,5.65E-08,0.017173369,873.4453919,-0.038180816
thou,are,video,15,6.25E-05,0.004843658,0.001417255,4.29E-10,6.26E-08,0.019028065,788.3092818,-0.038519252
photo,posted,by,15,0.000361712,0.000440631,0.002772032,4.42E-10,6.45E-08,0.019601353,765.2532804,-0.038610905
around,next,year,15,0.000815497,0.00046365,0.001223246,4.63E-10,6.75E-08,0.020519876,730.9985655,-0.038747075
wins,the,dirty,15,9.86E-05,0.032968442,0.000157838,5.13E-10,7.49E-08,0.022774623,658.6278119,-0.039034766
on,underground,video,15,0.007816276,4.93E-05,0.001417255,5.46E-10,7.97E-08,0.024241457,618.7746984,-0.039193191
missed,it,last,15,0.000105225,0.007714339,0.0006741,5.47E-10,7.98E-08,0.024276879,617.8718522,-0.03919678
money,little,girl,15,0.00071356,0.000914146,0.000841803,5.49E-10,8.01E-08,0.024361582,615.7235476,-0.03920532
child,support,paying,15,0.003038384,0.001012795,0.000184145,5.67E-10,8.27E-08,0.025140373,596.6498604,-0.039281143
are,video,pastor,15,0.004843658,0.001417255,8.55E-05,5.87E-10,8.56E-08,0.026038404,576.0721675,-0.039362944
pulled,out,because,15,9.86E-05,0.003127168,0.001917076,5.91E-10,8.63E-08,0.026238036,571.689126,-0.039380368
trending,on,social,15,0.000226892,0.007816276,0.000351848,6.24E-10,9.10E-08,0.027683631,541.8364384,-0.039499039
gives,dbs,the,15,0.000184145,0.000105225,0.032968442,6.39E-10,9.32E-08,0.028341753,529.2544917,-0.039549055
jordan,on,next,15,0.000177568,0.007816276,0.00046365,6.44E-10,9.39E-08,0.028549799,525.3977443,-0.039564387
dirty,dog,of,15,0.000157838,0.00026964,0.01604359,6.83E-10,9.96E-08,0.030293323,495.1586272,-0.039684594
and,talk,characters,15,0.022837206,0.000542569,5.92E-05,7.33E-10,1.07E-07,0.032537914,461.0006722,-0.03982038
next,year,video,15,0.00046365,0.001223246,0.001417255,8.04E-10,1.17E-07,0.035661559,420.6209843,-0.039980899
gunz,i,never,15,5.59E-05,0.014264622,0.001012795,8.08E-10,1.18E-07,0.035830279,418.6403382,-0.039988772
and,loses,white,15,0.022837206,7.56E-05,0.000476803,8.24E-10,1.20E-07,0.036536681,410.5463258,-0.040020948
manning,on,black,15,6.91E-05,0.007816276,0.001555363,8.40E-10,1.22E-07,0.037245226,402.7361749,-0.040051995
girlfriend,is,angry,15,0.000440631,0.011732635,0.000170991,8.84E-10,1.29E-07,0.039218772,382.4699071,-0.040132558
love,video,exclusive,15,0.001703337,0.001417255,0.000381442,9.21E-10,1.34E-07,0.040853194,367.1683509,-0.040193385
on,next,15,15,0.007816276,0.00046365,0.000259775,9.41E-10,1.37E-07,0.041767299,359.1326353,-0.040225329
one,llc,all,15,0.002456356,9.86E-05,0.00395253,9.58E-10,1.40E-07,0.042492015,353.0075011,-0.040249678
color,issues,in,15,0.000207163,0.000437343,0.012064753,1.09E-09,1.59E-07,0.04849544,309.3074324,-0.040423396
year,video,2015,15,0.001223246,0.001417255,0.000644506,1.12E-09,1.63E-07,0.049572096,302.5895857,-0.040450101
us,on,youtube,15,0.001397525,0.007816276,0.000108514,1.19E-09,1.73E-07,0.052588775,285.2319733,-0.040519102
couple,put,on,15,0.0003091,0.000499821,0.007816276,1.21E-09,1.76E-07,0.053574931,279.9816927,-0.040539973
new,money,little,15,0.001854598,0.00071356,0.000914146,1.21E-09,1.76E-07,0.053671611,279.477355,-0.040541978
be,scared,video,15,0.005813705,0.000147973,0.001417255,1.22E-09,1.78E-07,0.054092001,277.3053277,-0.040550612
on,social,media,15,0.007816276,0.000351848,0.000466938,1.28E-09,1.87E-07,0.05697211,263.2867201,-0.040606339
the,dirty,dog,15,0.032968442,0.000157838,0.00026964,1.40E-09,2.05E-07,0.062250636,240.9613946,-0.040695088
never,took,him,15,0.001012795,0.000411037,0.003446133,1.43E-09,2.09E-07,0.063647744,235.6721403,-0.040716114
the,bossip,newsletter,15,0.032968442,0.000213739,0.000226892,1.60E-09,2.33E-07,0.070933461,211.4657858,-0.04081234
watch,the,pbs,15,0.00044392,0.032968442,0.000111802,1.64E-09,2.39E-07,0.07259411,206.6283331,-0.04083157
video,sacrifice,and,15,0.001417255,5.26E-05,0.022837206,1.70E-09,2.48E-07,0.07554931,198.5458232,-0.040863699
video,for,valentines,15,0.001417255,0.008924432,0.000138108,1.75E-09,2.55E-07,0.077499233,193.5503024,-0.040883558
took,him,back,15,0.000411037,0.003446133,0.001282435,1.82E-09,2.65E-07,0.080592922,186.1205621,-0.040913093
fans,video,for,15,0.000147973,0.001417255,0.008924432,1.87E-09,2.73E-07,0.083034893,180.6469489,-0.040934852
dbs,the,real,15,0.000105225,0.032968442,0.000542569,1.88E-09,2.75E-07,0.08350695,179.6257669,-0.040938911
of,beyonce,video,15,0.01604359,8.55E-05,0.001417255,1.94E-09,2.84E-07,0.08624669,173.9197177,-0.040961594
wont,be,around,15,0.000414325,0.005813705,0.000815497,1.96E-09,2.87E-07,0.087149618,172.1177941,-0.040968757
take,the,wheel,15,0.001016083,0.032968442,5.92E-05,1.98E-09,2.89E-07,0.087966981,170.5185273,-0.040975115
the,year,honors,15,0.032968442,0.001223246,5.26E-05,2.12E-09,3.10E-07,0.094135108,159.3454384,-0.04101953
be,around,next,15,0.005813705,0.000815497,0.00046365,2.20E-09,3.21E-07,0.097524572,153.8073905,-0.041041545
dont,be,scared,15,0.002686537,0.005813705,0.000147973,2.31E-09,3.37E-07,0.102536345,146.2895915,-0.04107143
the,cadillac,video,15,0.032968442,5.26E-05,0.001417255,2.46E-09,3.59E-07,0.109065138,137.5324897,-0.041106242
against,no,child,15,0.000368289,0.002219599,0.003038384,2.48E-09,3.62E-07,0.110193193,136.1245607,-0.041111839
breaks,down,the,15,0.00011509,0.000677389,0.032968442,2.57E-09,3.75E-07,0.114031271,131.542864,-0.041130052
and,sings,how,15,0.022837206,4.93E-05,0.002298518,2.59E-09,3.78E-07,0.114868695,130.5838814,-0.041133864
south,and,talk,15,0.000210451,0.022837206,0.000542569,2.61E-09,3.80E-07,0.115690359,129.6564391,-0.041137551
end,of,days,15,0.00038473,0.01604359,0.000437343,2.70E-09,3.94E-07,0.119764835,125.2454442,-0.041155086
broke,it,here,15,0.000322253,0.007714339,0.001104867,2.75E-09,4.01E-07,0.121858089,123.0940036,-0.041163638
out,of,wedlock,15,0.003127168,0.01604359,5.59E-05,2.80E-09,4.09E-07,0.124428899,120.5507736,-0.041173748
dms,and,more,15,5.26E-05,0.022837206,0.00241032,2.90E-09,4.23E-07,0.128486414,116.7438606,-0.041188881
baby,mama,syndrome,15,0.006152399,0.00366316,0.00013482,3.04E-09,4.43E-07,0.134804328,111.2723917,-0.041210632
jesus,take,the,15,9.21E-05,0.001016083,0.032968442,3.08E-09,4.50E-07,0.136837525,109.6190533,-0.041217204
heres,why,you,15,0.00024991,0.001223246,0.010821778,3.31E-09,4.83E-07,0.146772745,102.1988111,-0.041246701
on,threesome,with,15,0.007816276,4.93E-05,0.008704116,3.36E-09,4.90E-07,0.148879665,100.7525104,-0.041252451
a,photo,posted,15,0.021117428,0.000361712,0.000440631,3.37E-09,4.91E-07,0.149323715,100.4528987,-0.041253642
a,long,term,15,0.021117428,0.000591893,0.000276217,3.45E-09,5.04E-07,0.153173309,97.9282888,-0.041263678
the,wheel,new,15,0.032968442,5.92E-05,0.001854598,3.62E-09,5.28E-07,0.160561091,93.42238466,-0.04128159
15,dont,be,15,0.000259775,0.002686537,0.005813705,4.06E-09,5.92E-07,0.18000825,83.32951413,-0.041321711
if,you,missed,15,0.003620412,0.010821778,0.000105225,4.12E-09,6.01E-07,0.182905254,82.00967267,-0.041326958
on,black,lives,15,0.007816276,0.001555363,0.000348559,4.24E-09,6.18E-07,0.187999714,79.7873554,-0.041335792
mill,and,more,15,7.89E-05,0.022837206,0.00241032,4.34E-09,6.34E-07,0.192729621,77.82924037,-0.041343576
out,because,shes,15,0.003127168,0.001917076,0.000776038,4.65E-09,6.79E-07,0.206405885,72.67234653,-0.041364076
find,out,when,15,0.000605046,0.003127168,0.002801627,5.30E-09,7.73E-07,0.235179215,63.78114675,-0.041399421
going,to,vote,15,0.001068696,0.02759208,0.000187433,5.53E-09,8.06E-07,0.245207042,61.17279449,-0.041409789
stupid,in,love,15,0.00026964,0.012064753,0.001703337,5.54E-09,8.08E-07,0.245839874,61.01532575,-0.041410415
the,pbs,black,15,0.032968442,0.000111802,0.001555363,5.73E-09,8.36E-07,0.254348253,58.97425999,-0.041418529
i,never,took,15,0.014264622,0.001012795,0.000411037,5.94E-09,8.66E-07,0.263457932,56.93508599,-0.041426635
who,wont,be,15,0.002857528,0.000414325,0.005813705,6.88E-09,1.00E-06,0.305375073,49.11992283,-0.041457702
we,broke,it,15,0.003485592,0.000322253,0.007714339,8.67E-09,1.26E-06,0.384433256,39.01847661,-0.041497858
down,the,problem,15,0.000677389,0.032968442,0.000388019,8.67E-09,1.26E-06,0.384448286,39.01695117,-0.041497864
video,end,of,15,0.001417255,0.00038473,0.01604359,8.75E-09,1.28E-06,0.388110106,38.64882616,-0.041499327
who,wins,the,15,0.002857528,9.86E-05,0.032968442,9.29E-09,1.36E-06,0.412315567,36.37990215,-0.041508347
out,change,you,15,0.003127168,0.000292658,0.010821778,9.90E-09,1.44E-06,0.439399347,34.13751093,-0.041517261
get,away,with,15,0.002604329,0.000460361,0.008704116,1.04E-08,1.52E-06,0.462986321,32.39836542,-0.041524174
suicide,it,is,15,0.000121667,0.007714339,0.011732635,1.10E-08,1.61E-06,0.488557381,30.70263718,-0.041530915
it,here,first,15,0.007714339,0.001104867,0.001348201,1.15E-08,1.68E-06,0.509814452,29.42246915,-0.041536004
